#{"t_start": 1684436456.7797196, "env_id": "arl-sokoban-turtle-v0"}
r,l,t,sol-length,crate,solver
0.0,8,48.281517,0,0,0
-4.0,12,48.336318,0,3,0
-5.0,17,48.422268,0,1,0
5.0,14,48.488667,0,2,0
8.0,10,48.53503,0,2,0
-9.0,14,48.596394,0,3,0
4.0,13,48.660587,0,2,0
-4.0,8,48.702617,0,1,0
-5.0,11,48.764906,0,0,0
-8.0,13,48.833436,0,0,0
9.0,14,48.892015,0,1,0
-10.0,9,48.929945,0,4,0
-8.0,11,49.000746,0,1,0
4.0,12,49.063906,0,1,0
5.0,8,49.119854,0,1,0
0.0,12,49.21036,0,1,0
2.0,12,49.282458,0,2,0
5.0,13,49.3375,0,0,0
0.0,7,49.37022,0,2,0
-4.0,9,49.414895,0,0,0
14.0,10,49.464594,0,1,0
6.0,7,49.504647,0,1,0
10.0,9,49.563847,0,2,0
-5.0,8,49.609157,0,3,0
5.0,13,49.697372,0,0,0
5.0,10,49.740892,0,1,0
-10.0,10,49.780875,0,1,0
0.0,13,49.868915,0,2,0
4.0,5,49.929924,0,3,0
-4.0,9,49.977852,0,0,0
5.0,17,50.082456,0,0,0
0.0,9,50.158769,0,2,0
2.0,22,50.285687,0,3,0
0.0,16,50.359174,0,2,0
0.0,14,50.415936,0,2,0
0.0,11,50.462779,0,2,0
4.0,9,50.502019,0,1,0
4.0,11,50.559526,0,2,0
-5.0,7,50.592633,0,2,0
-4.0,24,50.72059,0,4,0
-8.0,17,50.805768,0,0,0
1.0,13,50.887784,0,2,0
11.0,18,50.99114,0,3,0
-4.0,7,51.028698,0,1,0
0.0,16,51.109566,0,0,0
1.0,12,51.185078,0,2,0
-15.0,21,51.318748,0,3,0
4.0,7,51.363409,0,2,0
5.0,8,51.41825,0,4,0
0.0,7,51.461073,0,2,0
4.0,10,51.525753,0,1,0
6.0,9,51.568322,0,4,0
1.0,6,51.5959,0,1,0
5.0,12,51.66867,0,2,0
-4.0,12,51.723279,0,0,0
-3.0,19,51.911352,0,3,0
-5.0,6,51.937123,0,1,0
4.0,9,51.972772,0,2,0
-14.0,13,52.054006,0,4,0
-9.0,11,75.693566,0,3,0
0.0,11,75.756057,0,0,0
5.0,12,75.816973,0,0,0
0.0,17,75.932081,0,0,0
5.0,8,75.97291,0,1,0
5.0,11,76.020893,0,1,0
1.0,10,76.062025,0,2,0
4.0,9,76.097466,0,2,0
0.0,12,76.147176,0,0,0
19.0,15,76.205935,0,1,0
0.0,15,76.276246,0,2,0
-9.0,13,76.33681,0,3,0
1.0,20,76.42116,0,2,0
-5.0,8,76.46075,0,4,0
-3.0,12,76.508391,0,0,0
8.0,19,76.584146,0,1,0
0.0,11,76.629669,0,1,0
0.0,13,76.760027,0,2,0
-15.0,15,76.851315,0,2,0
-9.0,9,76.937683,0,0,0
5.0,13,77.020515,0,2,0
0.0,12,77.090854,0,1,0
-5.0,15,77.220381,0,1,0
5.0,14,77.315401,0,4,0
0.0,14,77.403922,0,1,0
-5.0,11,77.467534,0,1,0
10.0,8,77.508732,0,0,0
1.0,9,77.555955,0,1,0
5.0,10,77.623177,0,0,0
1.0,8,77.671605,0,1,0
6.0,9,77.718895,0,1,0
14.0,21,77.84144,0,1,0
-1.0,11,77.906117,0,1,0
-1.0,9,77.949686,0,1,0
5.0,21,78.042791,0,1,0
4.0,9,78.082503,0,2,0
-9.0,10,78.141599,0,3,0
0.0,8,78.194638,0,1,0
10.0,7,78.26981,0,2,0
5.0,7,78.308554,0,0,0
2.0,16,78.393733,0,1,0
