#{"t_start": 1685220598.6028614, "env_id": "Sokoban-arl-v0"}
r,l,t,all_boxes_on_target
7.0,40,1066.579354,True
8.3,27,1067.065531,True
8.9,21,1067.460207,True
-7.0,70,1068.687358,False
9.3,17,1068.996774,True
8.1,29,1069.539773,True
8.2,28,1070.050358,True
7.9,31,1070.719275,True
8.1,29,1071.251433,True
7.8,32,1071.815584,True
-7.0,70,1073.046945,False
6.7,43,1073.813658,True
6.0,50,1074.716945,True
5.9,51,1075.682597,True
8.1,29,1076.208441,True
8.2,28,1076.699609,True
8.4,26,1077.158988,True
7.6,34,1077.767033,True
8.0,30,1078.299285,True
7.2,38,1079.277303,True
7.6,34,1079.906243,True
6.9,41,1080.625777,True
8.9,21,1080.994207,True
4.5,65,1082.228426,True
8.2,28,1082.724461,True
7.9,31,1083.263526,True
8.5,25,1083.681975,True
7.8,32,1084.223464,True
8.9,21,1084.560718,True
8.8,22,1084.948218,True
8.4,26,1085.410693,True
9.0,20,1085.754158,True
7.5,35,1086.3771,True
7.0,40,1087.061161,True
8.6,24,1087.454832,True
7.1,39,1088.407474,True
7.6,34,1088.991479,True
7.7,33,1089.560741,True
7.8,32,1090.08804,True
7.3,37,1090.754058,True
8.9,21,1091.120806,True
7.3,37,1091.741403,True
8.0,30,1092.265709,True
7.9,31,1092.757517,True
8.6,24,1093.233432,True
7.9,31,1093.771263,True
7.2,38,1094.438353,True
6.5,45,1095.243116,True
9.0,20,1095.569174,True
8.1,29,1096.038628,True
9.1,19,1154.556538,True
6.4,46,1155.41556,True
8.6,24,1155.865739,True
7.7,33,1156.444962,True
9.2,18,1156.758086,True
9.0,20,1157.100219,True
8.1,29,1157.625121,True
8.5,25,1158.059816,True
8.6,24,1158.471308,True
6.7,43,1159.281115,True
8.2,28,1159.863097,True
9.3,17,1160.168909,True
8.1,29,1160.659142,True
9.1,19,1160.96125,True
9.0,20,1161.309409,True
8.9,21,1161.667949,True
8.5,25,1162.120225,True
9.2,18,1162.525448,True
8.5,25,1162.949008,True
5.6,54,1163.936753,True
8.9,21,1164.308622,True
9.0,20,1164.705305,True
8.5,25,1165.147465,True
7.8,32,1165.731603,True
7.7,33,1166.428968,True
8.7,23,1166.811285,True
8.3,27,1167.263216,True
8.9,21,1167.618171,True
8.4,26,1168.061324,True
8.7,23,1168.441022,True
8.7,23,1168.848274,True
9.2,18,1169.162652,True
7.9,31,1169.73585,True
8.6,24,1170.166823,True
9.4,16,1170.452747,True
8.0,30,1170.95524,True
8.8,22,1171.339959,True
9.2,18,1171.665313,True
8.6,24,1172.088811,True
8.1,29,1172.610449,True
9.2,18,1173.175043,True
8.6,24,1173.58748,True
8.8,22,1174.063472,True
7.5,35,1174.656179,True
7.9,31,1175.171386,True
7.3,37,1175.756768,True
9.2,18,1176.061453,True
7.5,35,1176.627186,True
8.0,30,1177.129742,True
8.2,28,1177.585335,True
9.1,19,1177.905535,True
8.6,24,1178.305104,True
8.2,28,1179.395386,True
7.3,37,1180.073342,True
7.9,31,1180.591617,True
8.7,23,1180.996104,True
8.0,30,1181.530593,True
8.9,21,1181.885609,True
8.2,28,1182.364772,True
8.4,26,1182.79646,True
8.4,26,1183.240377,True
8.9,21,1183.601023,True
7.4,36,1184.224093,True
9.3,17,1184.500324,True
8.3,27,1185.055854,True
8.8,22,1185.465831,True
8.8,22,1185.854345,True
8.4,26,1186.273809,True
8.7,23,1186.644924,True
8.9,21,1186.968955,True
8.7,23,1187.32245,True
8.2,28,1187.743286,True
9.2,18,1188.061235,True
8.3,27,1188.519712,True
9.0,20,1188.879723,True
9.6,14,1189.138917,True
8.9,21,1189.503435,True
9.4,16,1189.797272,True
8.9,21,1190.15666,True
8.2,28,1190.628978,True
8.7,23,1191.041959,True
-7.0,70,1249.779758,False
9.5,15,1250.031585,True
9.2,18,1250.353172,True
8.4,26,1250.817934,True
8.3,27,1251.295985,True
8.5,25,1251.767171,True
9.2,18,1252.105244,True
9.3,17,1252.415122,True
9.1,19,1252.739935,True
8.4,26,1253.172998,True
9.2,18,1253.922522,True
8.1,29,1254.421227,True
8.8,22,1254.81637,True
8.3,27,1255.296456,True
9.1,19,1255.625016,True
8.9,21,1255.98673,True
9.3,17,1256.295977,True
8.0,30,1256.815011,True
8.4,26,1257.257125,True
9.0,20,1257.598127,True
9.1,19,1257.908012,True
8.6,24,1258.297072,True
8.0,30,1258.816896,True
8.6,24,1259.241128,True
9.2,18,1259.573495,True
9.0,20,1259.920627,True
7.1,39,1260.626704,True
9.1,19,1260.947787,True
8.0,30,1261.468921,True
9.4,16,1261.741129,True
8.7,23,1262.107285,True
8.9,21,1262.467415,True
9.2,18,1262.784868,True
8.8,22,1263.181991,True
8.9,21,1263.549196,True
8.8,22,1263.960701,True
8.5,25,1264.416256,True
9.1,19,1264.864993,True
8.9,21,1265.247252,True
8.5,25,1265.68306,True
9.0,20,1266.020993,True
9.2,18,1266.341309,True
8.9,21,1266.716948,True
9.2,18,1267.017662,True
8.2,28,1267.506968,True
8.1,29,1268.027695,True
7.7,33,1268.584443,True
8.7,23,1268.968401,True
9.3,17,1269.271125,True
8.6,24,1269.649273,True
8.6,24,1270.060295,True
8.8,22,1270.454693,True
8.6,24,1270.897044,True
9.1,19,1271.243387,True
9.2,18,1271.541028,True
8.8,22,1271.92485,True
9.5,15,1272.176398,True
9.0,20,1272.510371,True
8.7,23,1272.917821,True
7.6,34,1273.503346,True
7.1,39,1274.152654,True
9.3,17,1274.441046,True
7.9,31,1274.933709,True
8.5,25,1275.332739,True
9.5,15,1275.672918,True
8.3,27,1276.129695,True
9.3,17,1276.42931,True
9.0,20,1276.785791,True
8.2,28,1277.26749,True
8.9,21,1277.660482,True
8.9,21,1278.022847,True
8.6,24,1278.433083,True
8.9,21,1278.786867,True
9.2,18,1279.064374,True
8.8,22,1279.420745,True
7.3,37,1280.033279,True
-7.0,70,1281.257018,False
8.7,23,1281.658304,True
9.2,18,1281.967534,True
9.1,19,1282.300907,True
8.9,21,1282.660521,True
8.1,29,1283.169543,True
8.4,26,1283.622179,True
8.7,23,1284.020443,True
8.7,23,1284.423959,True
9.4,16,1284.681316,True
9.3,17,1342.805964,True
9.0,20,1343.187998,True
8.7,23,1343.597306,True
8.9,21,1343.965289,True
9.0,20,1344.412726,True
8.9,21,1344.813164,True
8.6,24,1345.241582,True
9.6,14,1345.509069,True
9.2,18,1345.825609,True
9.5,15,1346.120392,True
8.9,21,1346.488917,True
-7.0,70,1347.789612,False
9.1,19,1348.158051,True
9.3,17,1348.473326,True
9.3,17,1348.770555,True
8.9,21,1349.129193,True
8.2,28,1349.636734,True
9.0,20,1349.992304,True
8.2,28,1350.496718,True
9.5,15,1350.767333,True
9.0,20,1351.131809,True
8.9,21,1351.505105,True
9.3,17,1351.821263,True
9.1,19,1352.150403,True
7.9,31,1352.666896,True
9.3,17,1352.973923,True
9.1,19,1353.310117,True
9.3,17,1353.601614,True
9.4,16,1353.867069,True
9.0,20,1354.225434,True
9.1,19,1354.547971,True
9.1,19,1354.873965,True
9.5,15,1355.158037,True
8.6,24,1355.677811,True
9.2,18,1355.999775,True
9.0,20,1356.34932,True
9.0,20,1356.731292,True
7.7,33,1357.320599,True
8.3,27,1357.767307,True
8.6,24,1358.165896,True
9.1,19,1358.518599,True
9.2,18,1358.848142,True
9.3,17,1359.153021,True
8.6,24,1359.571199,True
9.4,16,1359.861448,True
9.3,17,1360.528439,True
9.3,17,1360.836369,True
9.1,19,1361.189832,True
9.1,19,1361.512165,True
9.3,17,1361.811504,True
9.6,14,1362.065605,True
9.4,16,1362.355266,True
9.2,18,1362.685443,True
9.1,19,1363.028705,True
8.9,21,1363.408786,True
-7.0,70,1364.664276,False
9.2,18,1365.012825,True
8.6,24,1365.441297,True
8.7,23,1365.82877,True
8.8,22,1366.232453,True
8.8,22,1366.633158,True
8.4,26,1367.063452,True
-7.0,70,1368.40624,False
8.5,25,1368.82861,True
9.3,17,1369.120469,True
9.4,16,1369.420196,True
9.3,17,1369.716827,True
9.4,16,1370.012016,True
9.4,16,1370.308237,True
9.2,18,1370.636449,True
9.2,18,1370.948931,True
9.6,14,1371.188077,True
9.0,20,1371.547978,True
9.3,17,1371.83399,True
8.1,29,1372.338325,True
